TP9,AF7,AF8,TP10,Right AUX,timestamps
-189.453,-508.301,909.668,379.883,-281.25,0
-787.109,-1000,-309.082,-751.465,995.605,0.004
194.824,-971.68,-969.727,190.918,-954.102,0.008
-1000,-517.09,389.16,-1000,-147.461,0.012
-0.488,0,-0.488,-0.488,0,0.016
-2.93,0,-0.488,-2.441,-9.766,0.02
34.668,-31.25,33.691,34.18,10.254,0.023
-63.965,67.383,-83.008,-63.965,46.875,0.027
319.336,-374.023,409.668,327.637,-333.008,0.031
-989.258,-1000,987.793,-984.375,308.105,0.035
-963.379,-895.996,539.062,-973.145,-740.234,0.039
-172.363,-472.168,643.066,-176.758,197.266,0.043
-1000,-449.707,-974.121,-1000,-1000,0.06
-366.699,-846.191,999.512,-327.148,-1000,0.064
939.453,-991.699,977.051,957.031,66.895,0.068
-882.812,-907.227,587.891,-889.16,-750.977,0.072
8.789,-518.555,627.93,20.508,266.113,0.076
-1000,-418.457,-982.422,-1000,-971.191,0.08
-524.414,-813.965,993.652,-469.238,-1000,0.084
839.355,-986.816,-990.723,877.93,-78.125,0.088
-825.684,-946.777,640.625,-841.797,-775.879,0.091
177.734,-592.773,582.031,165.527,410.645,0.095
-1000,-420.898,999.512,-1000,-901.367,0.099
-812.5,-793.945,996.094,-734.863,-1000,0.103
535.645,-984.375,-978.516,626.953,-190.918,0.101
-767.578,-949.707,677.246,-784.668,-833.984,0.105
179.688,-603.516,519.531,192.871,621.094,0.109
-1000,-371.582,958.496,-1000,-749.512,0.112
-1000,-709.473,-997.559,-928.223,-1000,0.116
210.938,-961.914,-974.121,354.98,-192.871,0.12
-734.375,-965.332,790.527,-748.535,-894.531,0.124
168.457,-664.062,532.227,173.828,831.543,0.128
-1000,-413.574,898.926,-1000,-495.605,0.132
-1000,-729.492,-987.793,-1000,-1000,0.136
8.301,-967.285,-973.633,97.656,-222.656,0.14
-745.605,-989.746,795.41,-739.746,-963.379,0.144
284.668,-760.254,441.406,273.438,999.023,0.14
-957.031,-423.34,812.988,-958.008,-220.215,0.144
-1000,-650.879,-976.074,-1000,-1000,0.148
-161.621,-935.547,-980.469,-118.652,-383.301,0.152
-788.574,-994.629,828.125,-783.203,920.41,0.156
449.707,-770.508,483.887,463.379,-881.348,0.16
-895.996,-387.207,797.852,-880.859,20.508,0.164
-1000,-582.031,-978.027,-1000,-1000,0.168
-212.891,-921.875,-989.746,-195.312,-525.879,0.172
-843.262,-994.629,895.996,-843.75,818.359,0.176
661.133,-851.074,476.562,667.48,-833.496,0.179
-738.77,-478.027,690.43,-717.773,121.582,0.183
-1000,-597.168,-974.609,-1000,-1000,0.2
-179.688,-931.152,-989.746,-179.688,-807.129,0.204
-904.785,-990.234,905.273,-905.273,502.93,0.208
878.906,-881.836,471.68,882.324,-770.996,0.212
-443.359,-491.699,649.414,-438.477,170.898,0.216
-1000,-493.652,-975.586,-1000,-1000,0.22
-238.281,-863.77,-994.141,-193.359,-960.938,0.224
-981.934,-994.629,935.059,-964.844,258.789,0.227
-956.543,-893.066,503.906,-966.797,-749.023,0.231
-163.574,-492.188,621.094,-160.645,190.43,0.235
-1000,-458.496,-976.562,-1000,-1000,0.239
-400.391,-858.887,996.582,-330.078,-1000,0.243
919.922,-990.234,988.281,953.613,81.055,0.24
-872.559,-930.664,586.914,-885.254,-749.023,0.244
25.879,-569.824,596.191,41.504,270.02,0.248
-1000,-475.098,-984.863,-1000,-961.914,0.252
-581.543,-851.074,995.117,-539.551,-1000,0.256
782.715,-991.699,-990.234,816.406,-120.117,0.26
-814.941,-919.434,680.664,-825.195,-786.621,0.264
169.922,-534.18,609.863,182.617,446.777,0.267
-1000,-397.461,994.629,-1000,-886.23,0.271
-825.684,-786.133,995.117,-743.652,-1000,0.275
514.648,-977.051,-973.145,620.117,-179.199,0.279
-764.16,-960.938,689.453,-783.203,-837.891,0.283
177.246,-630.371,506.836,188.965,644.043,0.282
-1000,-408.691,946.777,-1000,-723.633,0.286
-1000,-770.02,-993.652,-958.008,-1000,0.29
181.641,-979.98,-973.145,304.688,-199.219,0.294
-731.934,-979.004,743.652,-743.164,-916.016,0.298
167.48,-678.223,515.137,181.641,890.137,0.301
-1000,-387.695,916.992,-1000,-411.621,0.305
-1000,-709.473,-992.676,-1000,-1000,0.309
-16.602,-961.914,-972.656,64.941,-241.211,0.313
-748.535,-983.887,791.504,-743.164,-972.168,0.317
281.25,-734.375,412.109,292.48,-991.699,0.321
-957.52,-415.039,788.574,-950.195,-206.055,0.325
-1000,-674.316,-975.098,-1000,-1000,0.34
-199.219,-950.195,-981.445,-142.578,-420.41,0.344
-801.27,-994.141,837.891,-791.504,890.137,0.348
483.398,-814.453,436.523,489.258,-867.676,0.352
-881.836,-444.336,746.582,-869.629,45.898,0.356
-1000,-613.281,-972.656,-1000,-1000,0.36
-208.984,-931.641,-991.211,-194.824,-554.199,0.364
-848.633,-994.141,895.508,-845.215,794.434,0.368
681.641,-854.98,443.359,672.852,-826.66,0.371
-715.332,-479.004,654.297,-714.844,131.836,0.375
-1000,-576.172,-974.609,-1000,-1000,0.379
-174.805,-910.156,-985.84,-182.129,-818.359,0.383
-915.039,-994.141,888.184,-895.996,484.863,0.38
913.086,-871.582,411.621,849.121,-769.531,0.384
-391.113,-476.074,613.77,-482.91,175.293,0.388
-1000,-520.996,-970.215,-1000,-1000,0.392
-247.07,-889.648,-998.535,-208.008,-966.797,0.396
